Title,Yapımşirketi,Sezonsayısı,Yayıntarihi,Tür,Kanal,Başrol
Veda Mektubu,Most Production,1,27 Şubat 2023 - 21 Ağustos 2023,Dram,Kanal D,Nurgül Yeşilçay Selim Bayraktar Rabia Soytürk Emre Kıvılcım Bennu Yıldırımlar
Bana Baba Dedi,Acun Medya,1,10 Nisan 2015 - 29 Mayıs 2015,Komedi,TV8  ( HDTV ),Oğuzhan Koç Eser Yenenler İbrahim Büyükak Yağmur Tanrısevsin Ersin Korkut Cezmi Baskın Ayşe Tunaboylu
Masumiyet,Gold Film,1,24 Şubat 2021 - 24 Mayıs 2021,Dram Psikolojik gerilim,FOX,Hülya Avşar Mehmet Aslantuğ Deniz Çakır İlayda Alişan Serkay Tütüncü Deniz Işın
Büyük Buluşma,Ser Film,4,4 Ekim 2004  ( 2004-10-04 ) [1] [2] [3]  -  27 Haziran 2008  ( 2008-06-27 ) [4] [5],Dram,Samanyolu TV,Ümit Acar  (1-36)  Oğuz Oktay [1]  (1-6)   Zeynep Ece Akkoca [1]  (1-6)  Yusuf Sezgin  (37-155)
Annenin Sırrıdır Çocuk,NTC Medya,1,6 Nisan 2022 - 15 Haziran 2022,Dram,TV8,İrem Helvacıoğlu Selin Yeninci Engin Öztürk Olgun Toker
Annem,Gold Film,2,6 Eylül 2007 - 28 Mayıs 2009,Dram,Kanal D  ( HD ) (2007-2009),Vahide Perçin Duygu Yetiş Talat Bulut İlhan Şeşen Emel Göksu
Tatlı İntikam,D Productions,1,26 Mart 2016  ( 2016-03-26 )  -  12 Kasım 2016  ( 2016-11-12 ),Komedi Romantik,Kanal D,Leyla Lydia Tuğutlu Furkan Andıç
Bücür Cadı,,1,21 Eylül 1999 - 28 Haziran 2000,Fantastik Komedi Dram,Star TV  (21 Eylül 1999-28 Haziran 2000),Yunus Bülbül Önder Açıkalın Sezer Güvenirgil Merve Erdoğan
Behzat Ç. Bir Ankara Polisiyesi,Adam Film  (2010-2013)  Inter Medya  (2019),4,19 Eylül 2010 - 19 Eylül 2019,Polisiye Macera Dram Komedi Aksiyon Gerilim,Star TV  (2010-2013)  BluTV  (2019),Erdal Beşikçioğlu Canan Ergüder Fatih Artman İnanç Konukçu Berkan Şal Seda Bakan Berke Üzrek Eray Eserol Hakan Hatipoğlu Ege Aydan Ayça Eren Nejat İşler Güven Kıraç Zafer Algöz Aslı Tandoğan Ahmet Uğurlu Mine Tugay Engin Öztürk Sezin Akbaşoğulları Serdar Orçin  Gökhan Yıkılkan  Ertuğrul Şakar ve diğerleri
Baht Oyunu,ARC Film,1,15 Haziran 2021 - 12 Ekim 2021,Romantik komedi,Kanal D,Aytaç Şaşmaz Cemre Baysel İdris Nebi Taşkan Aslı Sümen
Geçmiş Bahar Mimozaları,TRT,1,1989,Dram Psikolojik,TRT 1,Filiz Akın Rutkay Aziz Ceylan Palay Müşfik Kenter Güler Ökten Nurseli İdiz Musa Uzunlar
Gençler,TRT,1,1989 - 1990,Duygusal Gençlik Komedi,TRT 1,Ziya Kürküt Fikret Kuşkan Oktay Kaynarca Bilge Parlak Melike Altunbaran Zeynep Özden Ayyıldız Çetin Etili
Aşka Sürgün,Sis Yapım,2,7 Mart 2005  ( 2005-03-07 )  -  5 Haziran 2006  ( 2006-06-05 ),Drama Macera,atv,Mahsun Kırmızıgül Beren Saat
Gelsin Hayat Bildiği Gibi,BKM,1,21 Temmuz 2022 - 25 Mayıs 2023,Dram Gençlik,Show TV,Ertan Saban Özge Özberk Devrim Özkan
Maraşlı,Tims&B Productions,1,11 Ocak 2021 - 13 Temmuz 2021,Aksiyon Dram,atv,Burak Deniz Alina Boz
Dayan Yüreğim,Endemol Shine Turkey,1,3 Şubat 2017 - 28 Nisan 2017,Dram,FOX,Mehmet Küçük Ece Uslu Cansel Elçin Nilay Deniz Berk Atan
Yarım Elma,Sis Yapım,2,25 Haziran 2002  ( 2002-06-25 ) [1]  - 2003,Komedi Dram,Kanal D  (2002-2003)  Show TV  (2003),Janset Paçal Günay Karacaoğlu
Tehlikeli Karım,MF Yapım,1,25 Mart 2018 - 29 Nisan 2018,Dram Romantik,Show TV,Gonca Vuslateri Seçkin Özdemir Mustafa Üstündağ Bige Önal
Aynalı Tahir,Base Productions,5,3 Ocak 1998 - Ocak 2002,Dram,Star TV  (1998-2001)  Flash TV  (2002) [6],Alişan Arif Kilisli Erkan Petekkaya Bulut Aras Saruhan Hünel Kayra Şenocak Yeşim Büber Arkın Gelenbe Emine Ün Nihan Özcan [1]
Rüya,Gold Film,1,18 Temmuz 2017 - 24 Eylül 2017,Romantik Dram,Show TV,Hazal Filiz Küçükköse Ceyhun Mengiroğlu
Benim Tatlı Yalanım,O3 Medya,1,13 Haziran 2019 - 28 Aralık 2019,Romantik komedi Dram,Star TV HD,Furkan Palalı Aslı Bekiroğlu Lavinya Ünlüer
155 Polis İmdat,Emek Film,2,10 Ocak 1994 - 14 Ekim 1994,Polisiye Aksiyon Dram Komedi,Show TV  (1994)  Kanal D  (1994),Necla Nazır Bülent Bilgiç Murat Soydan Yusuf Sezgin
Ateşböceği,Mia Yapım,1,29 Haziran 2017 - 25 Ekim  2017,Aşk Romantik komedi,Star TV,Seçkin Özdemir Nilay Deniz
İbret-i Ailem,NTC Medya,1,27 Haziran 2012 - 26 Ağustos 2012,Komedi,Star TV,Müjdat Gezen Şebnem Sönmez Zafer Algöz
Arkadaşlar İyidir,O3 Medya,1,28 Ağustos 2016 - 30 Ekim 2016,Dram Gençlik Aile,Show TV,Aslı Melisa Uzun İdris Nebi Taşkan Su Kutlu Akın Akınözü Hayal Köseoğlu
Gecenin Kraliçesi,O3 Medya,1,12 Ocak 2016 - 19 Nisan 2016,Aşk Dram,Star TV,Murat Yıldırım Meryem Uzerli
Çınarın Gölgesinde,,1,3 Ağustos 2015 - 13 Kasım 2015,Dram,Samanyolu TV,Pelin Bölükbaş Zeynep Müjde Akdeniz Semanur Uçar Ali Alper Türkan Mustafa Onur Akpınar Sevinç Erol Emre Çaltılı Ayşegül Aslan Aliye Karahan Eylül Başoğlu Deniz İrem Markoç Esra Yıldıran İremnur Karaaslan Kuzeykan Çoban Ali Oğuz Şenol Erdoğan Tutkun
Elveda Rumeli,Adam Film,3,20 Eylül 2007 - 19 Ekim 2009,Dram Tarihî,atv,Erdal Özyağcılar Tolgahan Sayışman Şebnem Sönmez Gökhan Mete Mustafa Jasar Filiz Ahmet Erman Saban Berrak Tüzünataç Suzan Akbelge Luran Ahmeti Ertan Saban Bedia Begovska Tuna Orhan Perihan Tuna Petar Mircevski Selahattin Bilal Elyesa Kaso
Filinta,Es Film,2,23 Aralık 2014 - 22 Nisan 2016,Aksiyon Polisiye Tarihî,TRT 1  ( HD )   (2014-2016)  [2],Onur Tuna Berrak Tüzünataç Hakan Kurtaş Nur Fettahoğlu Asena Tuğal Hâzım Körmükçü Serhat Tutumluer
Bir Zamanlar Çukurova,Tims&B Productions,4,13 Eylül 2018 - 16 Haziran 2022,Dram Romantik Aksiyon Tarihî,atv,Hilal Altınbilek Vahide Perçin Uğur Güneş Murat Ünalmış İbrahim Çelikkol Kerem Alışık Melike İpek Yalova Furkan Palalı Esra Dermancıoğlu İlayda Çevik Nazan Kesal Hande Soral Hülya Darcan Serpil Tamur
Ankara'nın Dikmen'i,Tükenmezkalem Film,2,12 Mart 2014 - 31 Aralık 2014,Komedi,"Kanal D  (2014, 1. sezon)  atv  (2014, 2. sezon)",Bülent Emrah Parlak Burak Kut Gözde Kansu Nurseli İdiz
Çocukluk,Medyapım MF Yapım,1,9 Ekim 2020 - 25 Aralık 2020,Dram,FOX,Erdal Beşikçioğlu Beren Gökyıldız Burcu Özberk
Her Sevda Bir Veda,C Yapım,1,3 Şubat 2014 - 24 Şubat 2014,Aşk Dram,Show TV  ( HD ),Nik Xhelilaj Elçin Sangu Devrim Evin Cemal Hünal Melisa Aslı Pamuk Gizem Ayaz Civan Canova Jale Arıkan Engin Benli Demet İyigün Defne Halman Berna Koraltürk Açelya Elmas Caner Özyurtlu Uğur Karabulut Güliz Şirinyan Zeynep Kızıltan
Tozluyaka,NTC Medya,1,27 Haziran 2022 - 25 Aralık 2022,Dram Gençlik,FOX,Dolunay Soysert Emre Kınay Tayanç Ayaydın Begüm Birgören Kaan Mirac Sezen
Aile Reisi,Base Productions,1,7 Temmuz 2009 - 14 Kasım 2009,Aile Romantik komedi,Star TV,Pınar Altuğ Emre Kınay Sermin Hürmeriç Burak Davutoğlu Bilge Şen Nalan Gücüpek Tamar Zeynep Papuççuoğlu Uğur Aslan Ünal Yeter Elif Atakan Barış Küçükgüler Tuğyan Akay Kavukçu Ceren Turkan Alpay Özdoğancı
Seni Çok Bekledim,Skala Yapım   DNZ Film,1,29 Ocak 2021 - 28 Nisan 2021,Dram,Star TV,Özcan Deniz İrem Helvacıoğlu
Azim Kahramanı Ayşe,,1,17 Eylül 2015 - 14 Ekim 2015,Dram,Samanyolu TV,Elif Sümbül Sert Gökhan Bekletenler Yıldırım Gücük Sena Çakır Bahar Karaoğlu
Yer Gök Aşk,Avşar Film,3,9 Ağustos 2010 - 27 Mayıs 2013,Dram,FOX  ( HD ),Birce Akalay Burak Hakkı Murat Ünalmış Melisa Aslı Pamuk Tuvana Türkay Işıl Yücesoy Kanbolat Görkem Arslan Levent Yılmaz Ayşegül Günay Remiz Evren İpek Erdem Sevinç Gediktaş Şahin Ergüney Firdevs Vüdül Erhan Duran Melih Özkaya
Altınsoylar,O3 Medya,1,5 Kasım 2016 - 19 Kasım 2016,Komedi Aile,Kanal D,Aras Aydın Ayça Ayşin Turan Şebnem Bozoklu Bennu Yıldırımlar Burak Sevinç Cihat Tamer
Cennetin Sırları,Hayal Mahsulleri Ofisi,1,7 Mart 2011 - 10 Haziran 2011,Romantik Gençlik Dram,Star TV,Ozan Akbaba Işıl Keskin Gökay Müftüoğlu Burçin Bilim Alp Kadıoğlu Didem Güçlü
Gönül İşleri,TMC Film,1,12 Ekim 2014  ( 2014-10-12 )  -  26 Nisan 2015  ( 2015-04-26 ),Dram Aile,Star TV,Sinem Kobal Selma Ergeç Bennu Yıldırımlar Timuçin Esen
Güzel Çirkin,Erler Film,1,1 Temmuz 2013 - 23 Eylül 2013,Polisiye Macera Suç Komedi Gizem,Kanal D  ( HD ),Naz Elmas Ali Sunal Cahit Gök Mihriban Er Ali İpin Nazan Diper Mehmet Çevik Pamir Pekin Gözde Türkpençe Kamil Güler
İnsanlık Suçu,Pastel Film,1,31 Mart 2018  ( 2018-03-31 )  -  19 Mayıs 2018  ( 2018-05-19 ),Dram,Kanal D,Kaan Yıldırım Gizem Karaca Melike İpek Yalova Laçin Ceylan Deniz Uğur Serkay Tütüncü Ahmet Mümtaz Taylan
Karaoğlan,ANS Production,1,20 Eylül 2002  ( 2002-09-20 ) [1]  -  8 Kasım 2002  ( 2002-11-08 ) [2],Drama Tarihî Aksiyon,Kanal D,Kaan Urgancıoğlu Tuba Ünsal Serdar Gökhan Özlem Tekin İpek Tanrıyar Sümer Tilmaç İştar Gökseven Hasan Yalnızoğlu Evrim Solmaz Fatoş Silan Ayşen Gürler Haldun Boysan Sinemis Candemir Nihat Nikerel Ökkeş Avgın Şevval Sam Yılmaz Köksal
Analar ve Anneler,Ay Yapım,1,22 Ekim 2015  ( 2015-10-22 )  -  24 Aralık 2015  ( 2015-12-24 ),Drama,atv  ( HD ),Hazar Ergüçlü Binnur Kaya Okan Yalabık Sinem Kobal Nazan Kesal Ulaş Tuna Astepe Metin Akdülger
Nerdesin Birader,Film Evi Yapım,1,8 Kasım 2017 - 29 Kasım 2017,Komedi Aşk,FOX,Timur Acar Gonca Sarıyıldız Hakan Bilgin Ruhi Sarı Seren Deniz Yalçın Deniz Can Aktaş
Masum Değiliz,Koliba Film,1,31 Mart 2018 - 1 Ağustos 2018,Dram,atv,Uraz Kaygılaroğlu Damla Sönmez Ushan Çakır Aras Aydın Sercan Badur
Mazi Kalbimde Yaradır,Tims Productions,2,17 Şubat 2011 - 26 Kasım 2011,Romantik Dram,TRT 1,Selçuk Yöntem Sedef Avcı
Kaderimin Yazıldığı Gün,O3 Medya,2,14 Ekim 2014  ( 2014-10-14 )  -  29 Aralık 2015  ( 2015-12-29 ),Aşk Dram,Star TV  ( HD ),Özcan Deniz Hatice Şendil Begüm Kütük Yaşaroğlu Gürbey İleri
Farklı Desenler,,3,19 Ekim 2010 - 7 Temmuz 2013,Dram,Samanyolu TV,Asuman Çakır Gözde Başaran İskender Altın Eren Özyalçın Fatih Dönmez Burak Demir
Cumbadan Rumbaya,,1,22 Mart 2005  ( 2005-03-22 ) [2] [3]  -  19 Nisan 2005  ( 2005-04-19 ) [4] [5],,TRT 1,
Aşk Ekmek Hayaller,ANS Productions,1,8 Aralık 2013 - 27 Şubat 2014,Dram,Show TV  ( HD ),Müjde Ar Burak Hakkı Berna Laçin Sinan Tuzcu İrem Altuğ Nihal Menzil Ali İpin Ayça Eren Nebil Sayın Alara Uncu Deniz Baysal Alican Özakoğlu Furkan Andıç Dilek Demir Barış Hacıhan Efe Karaman Elif Merve Çolak Begüm Çetinkaya Sudenaz Akkoyun Leyla Köse Pelin Buse Gökçek Kaan Ürkmez Aydan Çakır
Tatlı Hayat,Medyapım,3,18 Ekim 2001  ( 2001-10-18 ) [1]  -  Haziran 2004  ( 2004-06 ),Komedi Sit-com,Show TV  (2001-2004),Türkan Şoray Haluk Bilginer Asuman Dabak Çolpan İlhan Neco Celal Kadri Kınoğlu Gamze Özçelik Emre Altuğ Veysel Diker Sevinç Aktansel Sedat Kalkavan Levent Sülün
Selena,Süreç Film,3,10 Eylül 2006 - 18 Ağustos 2009,Fantastik kurgu Komedi,atv,Sinem Kobal Gökhan Keser Cansu Demirci Gizem Güven Dilara Kurtulmuş Sinan Çalışkanoğlu Zuhal Topal
Aşkın Bedeli,Düş Gezginleri Film,3,9 Eylül 2013 - 16 Ekim 2015,Aile Aşk Dram,Star TV  ( HD ),Zeynep Aydemir Arda Öziri Deniz Bolışık Ali Mert Yavuzcan
Beyaz Karanfil,,1,24 Ekim 2014 - 27 Kasım 2014,Dram Aksiyon,atv,Kenan Çoban Oya Unustası Hakan Boyav Çağlar Ertuğrul
İzmir Çetesi,Pastel Film,1,26 Şubat 2011 - 10 Haziran 2011,Komedi,Star TV  ( HD ),Kadir İnanır Kenan Ece Mustafa Üstündağ
Dolunay,No Dokuz Productions,1,4 Temmuz 2017 - 31 Aralık 2017,Romantik komedi,Star TV,Can Yaman Özge Gürel
Ağır Roman Yeni Dünya,Tims Productions,1,27 Eylül 2012 - 13 Aralık 2012,Dram,Star TV  ( HD ),Onur Saylak Nesrin Cavadzade Macit Koper Sumru Yavrucuk Murat Daltaban Özge Özpirinçci Tamer Tıraşoğlu Erkan Bektaş Begüm Birgören
Koyu Kırmızı,TMC,1,7 Ocak 2012 - 13 Nisan 2012,Aksiyon Drama,Star TV  ( HD ),Özgü Namal Ozan Güven Muhammet Uzuner İpek Bilgin Zeynep Özder Engin Hepileri Çağlar Çorumlu Ceren Soylu Mustafa Uzunyılmaz İdil Yener Tuğçe Akiş Esme Madra Şebnem Köstem Sinem İslamoğlu Mehmet Bozdoğan Arzu Oş Sevda Erginci Tuğba Çom Sevda Erginci Metin Belgin Elif Sönmez
Düşler ve Umutlar,Limon Film,1,22 Mart 2014 - 19 Nisan 2014,Dram,FOX  ( HD ),Berkehan Tüter Mustafa Uğurlu Çağdaş Onur Öztürk Denise Capezza Elçin Sangu Korel Cezayirli
Papatyam,Mint Prodüksiyon,4,6 Ocak 2009 - 28 Aralık 2011,Aile Komedi,Star TV,Metin Akpınar Nilgün Kasapbaşoğlu Deniz Oral
Masumlar Apartmanı,OGM Pictures,2,15 Eylül 2020 - 24 Mayıs 2022,Dram Aşk Psikoloji,TRT 1,Ezgi Mola Farah Zeynep Abdullah Birkan Sokullu Merve Dizdar Melisa Şenolsun Aslıhan Gürbüz
Sadakatsiz,Medyapım Mednova,2,7 Ekim 2020 - 25 Mayıs 2022,Dram Psikolojik gerilim,Kanal D,Cansu Dere Caner Cindoruk Melis Sezen Berkay Ateş
Kurşun Bilal,J Plan,1,11 Temmuz 2011 - 19 Ekim 2011,Polisiye Dram,atv  ( HD ),Gökhan Mumcu Arda Kural Leyla Göksun Sefa Zengin Levent Sülün Barkın Bayoğlu Cem Kurtoğlu Koray Kadirağa Umut Demirdelen Sevinç Erol Kahraman Sivri Bertan Ceylan Müge Uyar Uğur Taşdemir Önder Keskin Fatma Kabasakal Nevzat Yılmaz Hakan Gökhan Erdil Hande Kaptan Burak Orhan Yüzüak
Camdaki Kız,OGM Pictures,3,8 Nisan 2021 - 15 Haziran 2023,Dram,Kanal D,Burcu Biricik Feyyaz Şerifoğlu Selma Ergeç Enis Arıkan Cihangir Ceyhan
İki Kızkardeş,,1,2 Şubat 1993 - 18 Mayıs 1993,Dram,Show TV,Atilla Saral Aydan Şener Gülben Ergen
Böyle mi Olacaktı,Erler Film,6 [1],17 Ekim 1997 - 30 Nisan 2003,Dram Aile Gençlik,atv  (1997-2003),Açelya Akkoyun Berna Laçin Hande Ataizi
Üsküdar'a Giderken,,1,5 Mayıs 2011 - 7 Ağustos 2011,Komedi,Kanal D  (2011),Erkan Can Öner Erkan Tülin Özen Murat Cemcir
Hayatımın Neşesi,Goya Entertainment,1,7 Temmuz 2023 - 7 Kasım 2023,Komedi,TRT 1,Şebnem Bozoklu Tolga Tekin
Güllerin Savaşı,Medyapım,2,8 Temmuz 2014 - 6 Şubat 2016,Dram,Kanal D  ( HD ),Damla Sönmez Barış Kılıç Canan Ergüder
Al Yazmalım,Ay Yapım,1,12 Eylül 2011 - 5 Haziran 2012,Aşk Dram,atv  ( HD ),Seçkin Özdemir Özge Özpirinçci Barış Falay Nesrin Cavadzade Saygın Soysal Ahmet Saraçoğlu Gözde Kansu Zeynep Eronat Macit Koper
Beni Bırakma,Focus Film,4,8 Ocak 2018 - 18 Haziran 2021,Dram Romantik,atv,Gökberk Yıldırım Eda Nur Gülbudak Cenay Turksever Hazal Eylül Çelik
Yeter,Koliba Film,2,31 Aralık 2015 - 22 Aralık 2016,Dram,atv,Pelin Karahan Yurdaer Okur Ekin Türkmen Wilma Elles Rüçhan Çalışkur Hazım Körmükçü Mustafa Mert Koç
Oğlum Adam Olacak,,1,8 Kasım 1996  ( 1996-11-08 )  -  10 Ocak 1997  ( 1997-01-10 ),,Star TV,Savaş Dinçel Zihni Göktay Cihat Tamer Bilge Şen Tanju Tuncel Füsun Demirel Hikmet Körmükçü Salih Sarıkaya Zafer Algöz Erkan Taşdöğen Binnur Özpınar Funda Eskioğlu Zeynep Irgat Nazlı Tosunoğlu Selda Özbek Yıldıray Şahinler
Taşların Sırrı,Star 1,1,15 Eylül 1992  ( 1992-09-15 )  -  8 Aralık 1992  ( 1992-12-08 ),Gizem kurgu Fantezi Macera,Star TV,Tarık Akan Ayşegül Aldinç Merih Akalın Tuncer Necmioğlu Bilge Zobu Ali Çoban Coşkun Göğen Menderes Samancılar
Acayip Hikayeler,Acayip Medya,1,13 Nisan 2012  ( 2012-04-13 )  -  22 Haziran 2012  ( 2012-06-22 ),Fantastik Gerilim Korku filmi Bilimkurgu,Star TV  ( HD ),Serinin herhangi bir filminde rol alan oyuncular Haluk Bilginer Şevval Sam Altan Erkekli Begüm Akkaya Cem Özer Fatih Dönmez Irmak Ünal Kaan Urgancıoğlu Tamer Karadağlı Gülşah Şahin Levent Üzümcü Yeşim Büber İdil Fırat Jess Molho Sermet Yeşil Ayşegül Akdemir Beril Kayar Ayla Arslancan Ferdi Sancar Bülent Polat Murat Çekem Özlem Tekin
Tövbeler Olsun,Milim Sanat,1,9 Ağustos 2020  ( 2020-08-09 )  - 25 Mart 2021,Aile Durum komedisi,TRT 1,Güven Kıraç İpek Tuzcuoğlu Erkan Can
Kollama,,4,10 Şubat 2008  ( 2008-02-10 )  -  24 Haziran 2011  ( 2011-06-24 ),Polisiye Aksiyon Dram,Samanyolu TV,Mehmet Özgür Orhan Bıyıklı Eşref Kolçak Serhan Süsler Ertan Kılıç Osman Kot Okay Şenol Enis Yıldız Cevher Hikmet Güzey Hüseyin Köroğlu Reha Taşman Ali Başar Gökçer Genç
Menekşe İle Halil,Ay Yapım,1,7 Eylül 2007 - 24 Mayıs 2008,Aşk Drama,Kanal D  ( HD ),Kıvanç Tatlıtuğ Sedef Avcı
Kara Yazı,,1,28 Mart 2017 - 7 Mayıs 2017,Dram,Kanal D,Haluk Bilginer Emre Kınay Ushan Çakır Gülper Özdemir Zeynep Çamcı Burak Çelik Ahmet Tansu Taşanlar Zehra Yılmaz
Sevda'nın Bahçesi,Gold Film,1,23 Eylül 2017 - 19 Ekim 2017,Dram Aşk,Kanal D,Sibel Can Emre Kınay Begüm Kütük Mehmet Bozdoğan
Ruhun Duymaz,O3 Medya,1,24 Temmuz 2023 - 23 Eylül 2023,Romantik komedi,FOX,Burcu Özberk Şükrü Özyıldız
Ufak Tefek Cinayetler,Ay Yapım,2,24 Ekim 2017  ( 2017-10-24 )  -  11 Aralık 2018  ( 2018-12-11 ),Psikolojik gerilim Polisiye Dram,Star TV  ( HD ),Gökçe Bahadır Aslıhan Gürbüz Bade İşçil Tülin Özen Mert Fırat
Kefaret,25 Film,1,22 Kasım 2020 - 29 Temmuz 2021,Dram,FOX,Nurgül Yeşilçay Mert Fırat Yurdaer Okur
Yaz'ın Öyküsü,D Productions,1,5 Temmuz 2015  ( 2015-07-05 )  -  27 Eylül 2015  ( 2015-09-27 ),Aşk Gençlik,Kanal D  ( HD ),Ece Çeşmioğlu Vildan Atasever Tansel Öngel Çağdaş Onur Öztürk Tarık Özcan Ündüz
Gönül Ferman Dinlemiyor,EBS Production,1,4 Nisan 2010 - 18 Nisan 2010,Komedi,Show TV,Engin Şenkan Melek Baykal Oktay Dener Altan Karındaş Türkü Turan Mehmet Ali Kaptanlar Ceren Soylu Mehtap Bayri Nail Kırmızıgül
Kızlarım İçin,Süreç Film,1,28 Kasım 2017 - 28 Şubat 2018,Dram,Kanal D,Fikret Kuşkan Tuvana Türkay Elifcan Ongurlar Sanem Yeles Ahsen Eroğlu
Küçük Kıyamet,,2,13 Aralık 2012 - 30 Ocak 2015,Drama Dini,Samanyolu TV,Emrah Girgin Reha Yeprem
Asi,Sis Yapım,2,26 Ekim 2007  ( 2007-10-26 )  -  19 Haziran 2009  ( 2009-06-19 ),Dram Romantik,Kanal D,Tuba Büyüküstün Murat Yıldırım Çetin Tekindor Nur Sürer Tuncel Kurtiz Selma Ergeç
Hayat Sevince Güzel,Limon Film,1,6 Haziran 2016 - 3 Ekim 2016,Komedi,FOX,Ekin Mert Daymaz Algı Eke Burak Çelik
Canısı,Gold Film,1,21 Ekim 1997  ( 1997-10-21 )  -  14 Nisan 1998  ( 1998-04-14 ),Dram Macera,Show TV,İbrahim Erkal Emine Ün Yusuf Çetin Sevtap Parman Tanju Gürsu Sedef Bildik Canan Perver Kuzey Vargın Nur Subaşı Murat Soydan Engin Koç
Şaban ile Şirin,,1,5 Mart 1997 - 31 Mayıs 1997,Komedi,atv,Kemal Sunal Dinçer Çekmez Meltem Savcı Yaman Tarcan Ali Sunal Halit Akçatepe
Kanun Savaşçıları,TRT,1,1989 - 1989,Aksiyon Macera Polisiye,TRT 1  (1989),Serdar Gökhan Eşref Kolçak Özlem Savaş Yusuf Sezgin Savaş Akova Orsel Sonat Sermin Karaali Perin Karaali Tanju Şarman
Sıcak Saatler,Sinegraf  (1-17) Detay Film,3,15 Eylül 1997 - 12 Haziran 2000,Dram Duygusal Macera Polisiye,atv,Mehmet Aslantuğ Arzum Onan Nihat Nikerel Kenan Işık Aytaç Yörükaslan Sevda Ferdağ
Kırık Kanatlar,Avşar Film,2,19 Ocak 2006 - 7 Şubat 2007,Dram,Kanal D,Mehmet Ali Nuroğlu Özge Özberk Cansel Elçin Begüm Birgören Şemsi İnkaya Saygın Soysal Türkü Hazer Sermiyan Midyat Tolga Tecer Tanju Gürsu Cengiz Sezici Beyazıt Gülercan Şebnem Doğruer
İki Aile,D Productions,2,19 Haziran 2006 - 16 Haziran 2008,Komedi Aile,Star TV  (2006-2008),Emre Kınay İclal Aydın
Altın Kızlar,Play Prodüksiyon,1,12 Nisan 2009 - 10 Mayıs 2009,Komedi,atv,Nevra Serezli Cansu Dere Türkân Şoray Fatma Girik Tamer Karadağlı Sümer Tilmaç
Şahin Tepesi,Ay Yapım,1,23 Kasım 2018 - 28 Aralık 2018,Aşk Dram,atv,Zerrin Tekindor Ebru Özkan Boran Kuzum Aybüke Pusat Murat Aygen Esra Dermancıoğlu Kaan Taşaner Leyla Tanlar
Yamak Ahmet,Okur Film,2,8 Ağustos 2011 - 17 Ağustos 2012,Tarihî,TRT 1  (2011-2012),Ferit Aktuğ Kemal Uçar Başak Parlak Emrah Elçiboğa Emin Gürsoy Yusuf Atala Betül Şahin Birsen Dürülü Tarık Şerbetçioğlu Mafta Güney Mustafa Turan Yavuz Topoyan Alay Cihan Metin Yıldırım Yunus Emre Kılınç Burhan Yıldız Uğur Arslanoğlu Gaye Turgut
Kurt Kanunu,Pana Film,1,7 Şubat 2012 - 7 Haziran 2012,Tarihî Dram Macera,TRT 1,Ümit Acar Ali Başar Pelin Akil Bahar Kerimoğlu İlker Kızmaz
Gül ve Diken,Kemal Film,1,6 Aralık 1994 - 31 Ocak 1995,Romantik Duygusal,Star TV,Aydan Şener Murat Parasayar Müge Arda Tomris Oğuzalp Ozan Bilen
Fırıldak Ailesi,Grafi2000,3,11 Şubat 2013  ( 2013-02-11 )  -  28 Aralık 2016  ( 2016-12-28 ),Komedi,Star TV  (2013)   grafi2000  Youtube  kanalı (2013-2016)   tv2 (2014-2014)  TV8  (2015-2016),
Kızıl Elma,Sinegraf,2,15 Ocak 2014 - 23 Ekim 2014,Aksiyon Kurgu,TRT 1  ( HD ),Furkan Palalı Pelin Akil Aslıhan Güner Burak Sergen Zeynep Eronat Erdal Cindoruk
Şevkat Yerimdar,Limon Film,1,26 Mayıs 2017 - 30 Mart 2018,Komedi,FOX,Özgürcan Çevik Başak Parlak
Boşgezen ve Kalfası,Ortaoyuncular,1,1 Mart 1995  ( 1995-03-01 )  -  30 Haziran 1995  ( 1995-06-30 ),Komedi,Flash TV  (1995),Ferhan Şensoy Suna Pekuysal Derya Baykal Rasim Öztekin Tarık Pabuçcuoğlu Levent Ünsal Settar Tanrıöğen Şükran Dedeman Pınar Alsan
Yeditepe İstanbul,,2,18 Mayıs 2001  ( 2001-05-18 ) [2]  -  24 Haziran 2002  ( 2002-06-24 ) [3],Dram Aile Duygusal,TRT 1,
Huzur Sokağı,Set Film  (2012-2013)  atv İç Yapımlar  (2013-2014),2,7 Eylül 2012 - 18 Nisan 2014,Dram,atv  ( HD ),Selin Demiratar Ahmet Kutsi Karadoğan Güven Hokna Sinem Öztürk Gökhan Mete Yeşim Salkım
Bir Aşk Hikayesi,MF Yapım,1,26 Mart 2013 - 14 Ocak 2014,Aşk Dram,FOX  ( HD ),Seçkin Özdemir Damla Sönmez
Klavye Delikanlıları,Süreç Film,1,3 Ekim 2017 - 26 Kasım 2017,Komedi,Show TV,Rasim Öztekin Kaan Yıldırım Uraz Kaygılaroğlu Vildan Atasever Ali Barkın Sinan Çalışkanoğlu Filiz Taçbaş Cengiz Küçükayvaz İpek Tenolcay Gül Onat Onur Dilber
Hayat Bilgisi,Süreç Film,4,13 Şubat 2003 - 16 Haziran 2006,Gençlik Komedi Aile,Kanal D  (2003) Show TV  (2003-2006),Perran Kutman Tarık Pabuççuoğlu Kerem Kupacı
